DateTime,TimeToResponse,ResponseTimes
2025-05-16 08:25:50,1.392874,1
2025-05-16 08:25:52,3.440163,2
2025-05-16 08:25:54,5.250701,3
2025-05-16 08:25:55,7.060644,4
2025-05-16 08:25:57,8.87078,5
2025-05-16 08:25:59,10.59708,6
2025-05-16 08:26:02,13.4788,7
2025-05-16 08:26:05,16.22136,8
2025-05-16 08:26:06,18.11543,9
2025-05-16 08:26:08,20.1219,10
2025-05-16 08:26:10,21.70728,11
2025-05-16 08:26:14,25.41047,12
2025-05-16 08:26:14,25.64769,13
2025-05-16 08:26:15,26.4825,14
2025-05-16 08:26:16,27.35988,15
