DateTime,PID,TimeToResponse,ResponseTimes,TimeToPM2.5,CurrentPM2.5,TaskPoint,TimeToStartPoint
8/15/2025 19:15,815,-1,-1,-1,11.2,COLLISION_START_Cube1_Point1,1.449469
8/15/2025 19:15,815,2.971098,1,-1,13.19915,-1,-1
8/15/2025 19:15,815,-1,-1,-1,17.1954,COLLISION_START_Cube6_Point6,5.99857
8/15/2025 19:15,815,7.007857,2,-1,19.19248,-1,-1
8/15/2025 19:15,815,-1,-1,-1,23.18379,COLLISION_START_Cube5_Point5,9.638817
8/15/2025 19:15,815,10.40511,3,-1,23.18379,-1,-1
8/15/2025 19:15,815,-1,-1,10.51493,25.17817,-1,-1
8/15/2025 19:17,815,-1,-1,-1,13.19931,COLLISION_START_Cube1_Point1,1.899629
8/15/2025 19:17,815,-1,-1,-1,13.19931,COLLISION_END_Cube1_Point1_Duration:0.97s,2.86561
8/15/2025 19:17,815,-1,-1,-1,15.19787,COLLISION_START_Cube1_Point1,4.018209
8/15/2025 19:17,815,5.034344,1,-1,17.19567,-1,-1
8/15/2025 19:17,815,-1,-1,-1,21.18884,COLLISION_START_Cube6_Point6,7.579993
8/15/2025 19:17,815,-1,-1,-1,21.18884,COLLISION_END_Cube6_Point6_Duration:0.80s,8.377907
8/15/2025 19:17,815,-1,-1,-1,23.18429,COLLISION_START_Cube6_Point6,9.367577
8/15/2025 19:17,815,-1,-1,10.51106,25.17909,-1,-1
8/15/2025 19:17,815,10.51825,2,-1,25.17909,-1,-1
8/15/2025 19:17,815,-1,-1,-1,27.17303,COLLISION_START_Cube5_Point5,13.14957
8/15/2025 19:17,815,-1,-1,-1,29.16618,COLLISION_END_Cube5_Point5_Duration:0.69s,13.83685
8/15/2025 19:17,815,-1,-1,-1,29.16618,COLLISION_START_Cube5_Point5,14.74723
8/15/2025 19:17,815,15.57214,3,-1,31.15854,-1,-1
2025-08-15 19:21:01,815,-1,-1,-1,19.19229,COLLISION_START_Cube1_Point1,7.229389
2025-08-15 19:21:02,815,8.586192,1,-1,21.18827,-1,-1
2025-08-15 19:21:04,815,-1,-1,10.5185,25.17425,-1,-1
2025-08-15 19:21:05,815,-1,-1,-1,25.17425,COLLISION_START_Cube6_Point1,11.31649
2025-08-15 19:21:06,815,-1,-1,-1,27.16598,COLLISION_START_Cube6_Point6,12.54591
2025-08-15 19:21:06,815,-1,-1,-1,27.16598,COLLISION_END_Cube6_Point1_Duration:1.45s,12.76685
2025-08-15 19:21:07,815,13.45372,2,-1,27.16598,-1,-1
2025-08-15 19:21:10,815,-1,-1,-1,33.1367,COLLISION_START_Cube5_Point1,16.5771
2025-08-15 19:21:11,815,-1,-1,-1,33.1367,COLLISION_START_Cube5_Point6,17.69908
2025-08-15 19:21:11,815,-1,-1,-1,33.1367,COLLISION_END_Cube5_Point1_Duration:1.29s,17.86903
2025-08-15 19:21:12,815,-1,-1,-1,35.12537,COLLISION_START_Cube5_Point5,18.47727
2025-08-15 19:21:12,815,-1,-1,-1,35.12537,COLLISION_END_Cube5_Point6_Duration:0.90s,18.59968
2025-08-15 19:21:13,815,19.64117,3,-1,37.11337,-1,-1
